query_id	ndcg10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual	oracleNdcg10	orderingLoss	recallLoss	firstGoldRank	recallLimited	goldSurvivesBudget
q-044	0.4693	0.2000	0.1000	0.0000	0.3964	0.3333	0.7943	1.0000	0.5307	0.0000	1	false	1.0000
q-045	0.7864	0.6000	0.4000	0.0000	0.6677	0.6000	0.5189	1.0000	0.2136	0.0000	1	false	1.0000
q-046	0.4035	0.2000	0.2000	0.0000	0.2335	0.1667	0.7468	0.6448	0.2414	0.3552	1	true	1.0000
q-047	0.2372	0.0000	0.3000	0.0000	0.2459	0.2500	0.8611	1.0000	0.7628	0.0000	7	false	
q-048	0.3950	0.6000	0.3000	0.0000	0.2674	0.3750	0.6051	0.6479	0.2529	0.3521	2	true	1.0000
q-049	0.9818	0.8000	0.5000	1.0000	0.9429	0.8000	0.3572	1.0000	0.0182	0.0000	1	false	1.0000
q-050	0.3619	0.4000	0.2000	0.0000	0.2582	0.2500	0.6896	0.7458	0.3839	0.2542	1	true	1.0000
q-051	0.4226	0.4000	0.3000	0.0000	0.1643	0.2143	0.6132	0.4690	0.0464	0.5310	1	true	1.0000
q-052	0.0000	0.0000	0.0000	0.0000	0.0542	0.0000	0.9929	1.0000	1.0000	0.0000	16	false	
q-053	0.2439	0.2000	0.2000	0.0000	0.0982	0.2500	0.7876	0.4125	0.1686	0.5875	2	true	1.0000
q-054	0.5110	0.2000	0.2000	1.0000	0.3095	0.0000	0.8196	1.0000	0.4890	0.0000	3	false	1.0000
q-055	0.4197	0.4000	0.2000	0.0000	0.3333	0.3333	0.7038	1.0000	0.5803	0.0000	1	false	1.0000
q-056	0.3511	0.0000	0.5000	0.0000	0.5547	0.6563	0.6845	1.0000	0.6489	0.0000	6	false	
q-057	0.2782	0.4000	0.3000	0.0000	0.0710	0.1786	0.6677	1.0000	0.7218	0.0000	3	false	1.0000
q-058	0.3149	0.4000	0.2000	0.0000	0.0662	0.0833	0.6975	0.4690	0.1541	0.5310	1	true	1.0000
q-059	0.2337	0.4000	0.2000	0.0000	0.1750	0.3056	0.6899	1.0000	0.7663	0.0000	2	false	1.0000
q-060	0.2337	0.4000	0.2000	0.0000	0.1750	0.3056	0.6899	1.0000	0.7663	0.0000	2	false	1.0000
