query_id	ndcg10	recall10	recall100	mrr10
PLAIN-1398	1.0000	0.0971	0.2718	1.0000
PLAIN-1409	0.0734	0.0040	0.0316	0.1429
PLAIN-1419	0.4374	0.0462	0.0462	1.0000
PLAIN-1429	0.0000	0.0000	0.0000	0.0000
PLAIN-1441	0.4221	0.0215	0.1290	0.5000
PLAIN-1453	0.4570	0.0163	0.1347	1.0000
PLAIN-1463	0.3996	0.1250	0.3333	1.0000
PLAIN-1473	1.0000	1.0000	1.0000	1.0000
PLAIN-1485	0.0000	0.0000	0.0000	0.0000
PLAIN-1496	0.0000	0.0000	0.0000	0.0000
PLAIN-1506	0.2985	0.1333	0.1333	1.0000
PLAIN-1516	0.0000	0.0000	0.0000	0.0000
PLAIN-1527	0.8365	0.0396	0.1683	1.0000
PLAIN-1537	0.0948	0.0222	0.1556	0.2500
PLAIN-1547	0.0000	0.0000	0.0000	0.0000
PLAIN-1557	0.3070	0.1154	0.1538	0.5000
PLAIN-1568	1.0000	1.0000	1.0000	1.0000
PLAIN-1579	0.3392	0.2000	0.2000	1.0000
PLAIN-1590	0.1389	0.0556	0.1667	0.5000
PLAIN-1601	0.6618	0.0811	0.2297	1.0000
PLAIN-1611	0.0000	0.0000	0.0000	0.0000
PLAIN-1621	0.0000	0.0000	0.0000	0.0000
PLAIN-1635	0.5115	0.0139	0.1439	0.5000
PLAIN-1645	0.3026	0.1667	0.1667	1.0000
PLAIN-1656	0.1389	0.0357	0.0357	0.5000
PLAIN-1667	0.6403	0.0377	0.2390	1.0000
PLAIN-1679	0.0000	0.0000	0.0000	0.0000
PLAIN-1690	0.0000	0.0000	0.0000	0.0000
PLAIN-1700	0.0000	0.0000	0.0000	0.0000
PLAIN-1710	1.0000	0.6250	0.8125	1.0000
PLAIN-1721	0.6621	0.1935	0.2258	1.0000
PLAIN-1731	0.7654	0.6667	0.6667	1.0000
PLAIN-1741	1.0000	0.0238	0.1619	1.0000
PLAIN-1752	0.0000	0.0000	0.0000	0.0000
PLAIN-1762	0.2354	0.2500	0.6250	0.3333
PLAIN-1772	1.0000	1.0000	1.0000	1.0000
PLAIN-1784	0.0000	0.0000	0.0000	0.0000
PLAIN-1794	1.0000	1.0000	1.0000	1.0000
PLAIN-1805	0.9364	0.0776	0.2672	1.0000
PLAIN-1817	0.5326	0.1481	0.1852	1.0000
PLAIN-1827	0.0000	0.0000	0.0000	0.0000
PLAIN-1837	1.0000	0.0510	0.2959	1.0000
PLAIN-1847	0.3301	0.1818	0.1818	1.0000
PLAIN-1857	0.6274	0.1515	0.1818	1.0000
PLAIN-1867	0.2749	0.1429	0.1429	1.0000
PLAIN-1877	0.0000	0.0000	0.0000	0.0000
PLAIN-1887	0.0000	0.0000	0.0000	0.0000
PLAIN-1897	0.0000	0.0000	0.0000	0.0000
PLAIN-1909	0.9337	0.0194	0.0713	1.0000
PLAIN-1919	0.8572	0.2963	0.6296	1.0000
PLAIN-1929	0.0000	0.0000	0.2000	0.0000
PLAIN-1940	0.3590	0.1667	0.1667	1.0000
PLAIN-1950	0.2489	0.1538	0.1538	0.5000
PLAIN-1962	0.0000	0.0000	0.0000	0.0000
PLAIN-1972	0.0000	0.0000	0.0000	0.0000
PLAIN-1983	1.0000	0.3125	0.5000	1.0000
PLAIN-1995	0.0000	0.0000	0.0909	0.0000
PLAIN-2009	0.1265	0.1250	0.1250	0.3333
PLAIN-2019	0.4693	0.3333	0.3333	1.0000
PLAIN-2030	0.3026	0.1667	0.1667	1.0000
PLAIN-2040	0.7670	0.0530	0.0606	1.0000
PLAIN-2051	0.6817	0.0169	0.1296	1.0000
PLAIN-2061	0.9216	0.0220	0.0805	1.0000
PLAIN-2071	0.5200	0.0889	0.2000	1.0000
PLAIN-2081	1.0000	1.0000	1.0000	1.0000
PLAIN-2092	0.6489	0.5000	0.5000	1.0000
PLAIN-2102	0.8454	0.0190	0.1235	1.0000
PLAIN-2113	0.0000	0.0000	0.0000	0.0000
PLAIN-2124	0.3590	0.1176	0.1176	1.0000
PLAIN-2134	0.0000	0.0000	0.0000	0.0000
PLAIN-2145	0.1483	0.1111	0.1111	0.5000
PLAIN-2156	0.6448	0.5000	0.5000	1.0000
PLAIN-2167	0.0000	0.0000	0.0000	0.0000
PLAIN-2177	0.2973	0.1250	0.1250	0.5000
PLAIN-2187	0.3833	0.2222	0.2222	1.0000
PLAIN-2197	0.7656	0.1207	0.2931	1.0000
PLAIN-2209	0.0000	0.0000	0.0000	0.0000
PLAIN-2220	0.2350	0.1111	0.1111	1.0000
PLAIN-2230	0.1063	0.1429	0.1429	0.2000
PLAIN-2240	0.5767	0.4545	0.4545	1.0000
PLAIN-2250	0.0000	0.0000	0.0000	0.0000
PLAIN-2261	0.7126	0.1000	0.1500	1.0000
PLAIN-2271	0.0000	0.0000	0.0000	0.0000
PLAIN-2281	0.0000	0.0000	0.0000	0.0000
PLAIN-2291	0.3392	0.2000	0.4000	1.0000
PLAIN-2301	0.0000	0.0000	0.0000	0.0000
PLAIN-2311	0.0000	0.0000	0.0000	0.0000
PLAIN-2321	0.0000	0.0000	0.0000	0.0000
PLAIN-2332	0.4291	0.0412	0.2371	1.0000
PLAIN-2343	0.0000	0.0000	0.0000	0.0000
PLAIN-2354	0.2773	0.4000	0.4000	0.2500
PLAIN-2364	0.0000	0.0000	0.0000	0.0000
PLAIN-2375	0.0000	0.0000	0.0000	0.0000
PLAIN-2386	0.0000	0.0000	0.0000	0.0000
PLAIN-2396	0.0000	0.0000	0.0000	0.0000
PLAIN-2408	0.0000	0.0000	0.0000	0.0000
PLAIN-2430	0.4140	0.0652	0.2609	1.0000
PLAIN-2440	0.0000	0.0000	0.0000	0.0000
PLAIN-2450	0.2985	0.0526	0.1842	1.0000
PLAIN-2460	0.1150	0.0323	0.2258	0.2500
PLAIN-2470	0.4288	0.0411	0.3562	1.0000
PLAIN-2480	0.1813	0.1111	0.3333	0.5000
PLAIN-2490	0.4829	0.1304	0.2609	1.0000
PLAIN-2500	0.0000	0.0000	0.4286	0.0000
PLAIN-2510	0.7059	0.1304	0.5870	1.0000
