query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
PLAIN-1039	1.0000	1.0000	1.0000	1.0000			1.0000	0.4000	0.2000	1.0000	1.0000	1.0000	0.6400
PLAIN-1050	0.0000	0.0000	0.0106	0.0106			0.0000	0.0000	0.0000	0.0000	0.0010	0.0106	0.9785
PLAIN-1066	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1088	0.5531	0.4000	0.4000	0.4000			1.0000	0.4000	0.2000	0.0000	0.4000	0.4000	0.6400
PLAIN-1098	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1109	0.4690	0.0306	0.0714	0.1224			1.0000	0.6000	0.3000	0.0000	0.0614	0.1224	0.4761
PLAIN-1119	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1130	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
PLAIN-1141	0.2201	0.0625	0.0625	0.0625			1.0000	0.2000	0.1000	0.0000	0.0625	0.0625	0.8000
PLAIN-1151	0.5712	0.0392	0.0915	0.1895			1.0000	0.2000	0.6000	0.0000	0.1049		0.5026
PLAIN-1161	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
PLAIN-1172	0.2201	0.0526	0.0526	0.0526			1.0000	0.2000	0.1000	0.0000	0.0526	0.0526	0.8000
PLAIN-1183	0.2895	0.0800	0.0800	0.0800			1.0000	0.2000	0.2000	0.0000	0.0500	0.0800	0.7581
PLAIN-1193	0.0636	0.0556	0.1111	0.4444			0.1000	0.0000	0.1000	0.0000	0.0409	0.0556	0.9695
PLAIN-1203	0.3590	0.1667	0.1667	0.1667			1.0000	0.4000	0.2000	0.0000	0.1667	0.1667	0.6400
