query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10	precision5	precision10	allGoldInTop10	map	rPrecision	rbpResidual
439	0.5000	1.0000	1.0000	1.0000			0.3333	0.2000	0.1000	1.0000	0.3333	0.0000	0.8720
440	0.4307	1.0000	1.0000	1.0000			0.2500	0.2000	0.1000	1.0000	0.2500	0.0000	0.8976
443	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
452	0.0000	0.0000	0.0000	0.5000			0.0000	0.0000	0.0000	0.0000	0.0063	0.0000	1.0000
475	0.2891	1.0000	1.0000	1.0000			0.1000	0.0000	0.1000	1.0000	0.1000	0.0000	0.9732
478	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
491	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
501	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
502	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
507	0.6309	1.0000	1.0000	1.0000			0.5000	0.2000	0.1000	1.0000	0.5000	0.0000	0.8400
508	0.0000	0.0000	0.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0152	0.0000	1.0000
513	0.6309	1.0000	1.0000	1.0000			0.5000	0.2000	0.1000	1.0000	0.5000	0.0000	0.8400
514	0.3869	1.0000	1.0000	1.0000			0.2000	0.2000	0.1000	1.0000	0.2000	0.0000	0.9181
516	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
517	0.3010	1.0000	1.0000	1.0000			0.1111	0.0000	0.1000	1.0000	0.1111	0.0000	0.9664
521	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
525	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
527	0.6309	1.0000	1.0000	1.0000			0.5000	0.2000	0.1000	1.0000	0.5000	0.0000	0.8400
528	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
532	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
533	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
535	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
536	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
539	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
540	0.2044	0.5000	0.5000	1.0000			0.1429	0.0000	0.1000	0.0000	0.0923	0.0000	0.9476
544	0.0000	0.0000	0.0000	1.0000			0.0000	0.0000	0.0000	0.0000	0.0159	0.0000	1.0000
549	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
551	0.6309	1.0000	1.0000	1.0000			0.5000	0.2000	0.1000	1.0000	0.5000	0.0000	0.8400
552	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
554	0.3155	1.0000	1.0000	1.0000			0.1250	0.0000	0.1000	1.0000	0.1250	0.0000	0.9581
560	0.0000	0.0000	0.0000	0.0000			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000
569	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
575	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
577	0.3869	1.0000	1.0000	1.0000			0.2000	0.2000	0.1000	1.0000	0.2000	0.0000	0.9181
578	1.0000	1.0000	1.0000	1.0000			1.0000	0.2000	0.1000	1.0000	1.0000	1.0000	0.8000
587	0.3333	1.0000	1.0000	1.0000			0.1429	0.0000	0.1000	1.0000	0.1429	0.0000	0.9476
